timeInterval	queriesProcessed	throughput	sysCost	virtualThroughput
2	0	0	0	0
4	762	381	9486	4743
6	715	357	7804	3902
8	661	330	8469	4234
10	688	344	8861	4430
12	685	342	8182	4091
14	684	342	8513	4256
16	731	365	7815	3907
18	709	354	8708	4354
20	692	346	8546	4273
22	648	324	7684	3842
24	652	326	8300	4150
26	700	350	8873	4436
28	631	315	8032	4016
30	669	334	8333	4166
32	618	309	7425	3712
34	703	351	8812	4406
36	833	416	9848	4924
38	612	306	7682	3841
40	585	292	7269	3634
42	857	428	10109	5054
44	782	391	9992	4996
46	596	298	6844	3422
48	630	315	7824	3912
50	665	332	7969	3984
52	729	364	9027	4513
54	775	387	8599	4299
56	642	321	7622	3811
58	829	414	9640	4820
60	637	318	7748	3874
62	610	305	7148	3574
64	729	364	8841	4420
66	759	379	8734	4367
68	726	363	8922	4461
70	714	357	8947	4473
72	646	323	7853	3926
74	696	348	8738	4369
76	662	331	8246	4123
78	710	355	8651	4325
80	710	355	8865	4432
82	680	340	8577	4288
84	681	340	8227	4113
86	788	394	9849	4924
88	678	339	8285	4142
90	649	324	8476	4238
92	780	390	9034	4517
94	674	337	8484	4242
96	641	320	7390	3695
98	769	384	9358	4679
100	703	351	7722	3861
102	686	343	8715	4357
104	722	361	8975	4487
106	748	374	9199	4599
108	763	381	8825	4412
110	722	361	8649	4324
112	682	341	8128	4064
114	729	364	8918	4459
116	747	373	8561	4280
118	621	310	8223	4111
120	566	283	7053	3526
122	709	354	8375	4187
124	641	320	7918	3959
126	652	326	7476	3738
128	698	349	8344	4172
130	716	358	8513	4256
132	704	352	8507	4253
134	644	322	8251	4125
136	763	381	9238	4619
138	691	345	8157	4078
140	703	351	9119	4559
142	639	319	7758	3879
144	632	316	8056	4028
146	664	332	8269	4134
148	728	364	8172	4086
150	704	352	8557	4278
152	765	382	9728	4864
154	104	52	1134	567
156	334	167	3820	1910
158	726	363	8701	4350
160	709	354	8678	4339
162	642	321	7812	3906
164	103	51	1158	579
166	648	324	8187	4093
168	729	364	9244	4622
170	665	332	8300	4150
172	691	345	8335	4167
174	716	358	9337	4668
176	719	359	9023	4511
178	636	318	7729	3864
180	687	343	7558	3779
182	793	396	9326	4663
184	757	378	9112	4556
186	695	347	8698	4349
