timeInterval	queriesProcessed	throughput	sysCost	virtualThroughput
2	0	0	0	0
4	763	381	9016	4508
6	853	426	9481	4740
8	958	479	13139	6569
10	933	466	11863	5931
12	874	437	9676	4838
14	1069	534	13545	6772
16	1121	560	13592	6796
18	1045	522	12303	6151
20	1026	513	12519	6259
22	1109	554	14522	7261
24	1027	513	13112	6556
26	1117	558	13764	6882
28	962	481	10612	5306
30	1055	527	13289	6644
32	1014	507	12251	6125
34	891	445	11311	5655
36	1257	628	15147	7573
38	1047	523	13164	6582
40	1046	523	12786	6393
42	1090	545	13255	6627
44	1170	585	14319	7159
46	908	454	10464	5232
48	1034	517	12455	6227
50	1053	526	12453	6226
52	959	479	12137	6068
54	1032	516	12220	6110
56	928	464	10577	5288
58	1080	540	13967	6983
60	1083	541	12798	6399
62	980	490	11594	5797
64	948	474	12486	6243
66	1109	554	12597	6298
68	1132	566	13811	6905
70	999	499	13220	6610
72	992	496	12162	6081
74	1018	509	12807	6403
76	1085	542	14037	7018
78	1094	547	13423	6711
80	1035	517	12816	6408
82	1077	538	13411	6705
84	943	471	11857	5928
86	1015	507	12210	6105
88	964	482	12694	6347
90	1073	536	14381	7190
92	974	487	12167	6083
94	1089	544	13332	6666
96	963	481	11566	5783
98	1151	575	14018	7009
100	1098	549	13169	6584
102	1139	569	13596	6798
104	934	467	11625	5812
106	1012	506	12345	6172
108	1171	585	13271	6635
110	971	485	11951	5975
112	1026	513	11545	5772
114	1138	569	13740	6870
116	1129	564	12878	6439
118	932	466	11246	5623
120	1207	603	14896	7448
122	1184	592	14061	7030
124	982	491	12195	6097
126	972	486	11875	5937
128	1058	529	12909	6454
130	1022	511	12339	6169
132	1045	522	13203	6601
134	938	469	11423	5711
136	1091	545	13568	6784
138	1050	525	12902	6451
140	1007	503	11751	5875
142	1039	519	12115	6057
144	991	495	12575	6287
146	999	499	12032	6016
148	1198	599	13598	6799
150	940	470	10930	5465
152	1113	556	14036	7018
154	122	61	1551	775
156	641	320	7906	3953
158	949	474	11901	5950
160	1030	515	13059	6529
162	1132	566	13113	6556
164	153	76	2017	1008
166	906	453	11410	5705
168	1065	532	12281	6140
170	1034	517	12769	6384
172	1049	524	13460	6730
174	973	486	12607	6303
176	1024	512	13062	6531
178	988	494	12424	6212
180	1146	573	13589	6794
182	921	460	11606	5803
184	1129	564	13776	6888
186	1008	504	12304	6152
188	1098	549	13199	6599
190	897	448	10897	5448
192	1109	554	13541	6770
194	238	119	3134	1567
196	1054	527	12977	6488
198	1123	561	14631	7315
200	1126	563	12839	6419
202	907	453	10686	5343
204	267	133	3568	1784
206	1088	544	13326	6663
208	1062	531	12299	6149
210	1017	508	12881	6440
212	984	492	12363	6181
214	1037	518	12355	6177
216	1248	624	15773	7886
218	1246	623	14744	7372
220	1018	509	12235	6117
222	964	482	11800	5900
224	1191	595	13832	6916
226	1014	507	12759	6379
228	1012	506	12132	6066
230	959	479	12521	6260
232	1244	622	15403	7701
234	298	149	3736	1868
236	962	481	13337	6668
238	1091	545	13522	6761
240	983	491	12127	6063
242	989	494	12911	6455
244	1027	513	12775	6387
246	1151	575	14239	7119
248	1034	517	11994	5997
250	1037	518	12956	6478
252	960	480	11659	5829
254	353	176	4248	2124
256	1041	520	13627	6813
258	1110	555	14295	7147
260	1118	559	13694	6847
262	1063	531	12335	6167
264	397	198	4992	2496
266	987	493	12374	6187
268	1092	546	13375	6687
270	916	458	11769	5884
272	1130	565	14011	7005
274	1048	524	13430	6715
276	1083	541	13242	6621
278	999	499	12070	6035
280	1037	518	11804	5902
282	1072	536	13315	6657
284	1048	524	12863	6431
286	1032	516	11899	5949
288	1000	500	12391	6195
290	1205	602	13760	6880
292	1016	508	12456	6228
294	341	170	4314	2157
296	997	498	12386	6193
298	1110	555	13305	6652
300	992	496	11577	5788
302	942	471	11579	5789
304	1261	630	13981	6990
306	1197	598	14763	7381
308	995	497	12885	6442
310	1009	504	12942	6471
312	1070	535	13269	6634
314	955	477	12730	6365
316	1147	573	14066	7033
318	1088	544	13087	6543
320	980	490	12636	6318
322	1073	536	13459	6729
324	1183	591	13381	6690
326	862	431	11771	5885
328	1101	550	13390	6695
330	1085	542	13634	6817
332	1049	524	13475	6737
334	936	468	13114	6557
336	1110	555	13852	6926
338	1131	565	13614	6807
340	1077	538	13983	6991
342	1085	542	13665	6832
344	1015	507	13051	6525
346	1021	510	12655	6327
348	948	474	12385	6192
350	1058	529	13498	6749
352	1229	614	14903	7451
354	1071	535	12806	6403
356	1093	546	12968	6484
358	959	479	11649	5824
360	1112	556	13486	6743
362	1067	533	12900	6450
364	1020	510	12451	6225
366	1047	523	12627	6313
368	1088	544	12886	6443
370	1030	515	13196	6598
372	1106	553	13200	6600
374	1029	514	12968	6484
376	1092	546	12925	6462
378	1031	515	13028	6514
380	929	464	11839	5919
382	1044	522	12941	6470
384	318	159	3808	1904
386	1148	574	14258	7129
388	1097	548	13655	6827
390	1076	538	12268	6134
392	1122	561	15195	7597
394	1068	534	13832	6916
396	1160	580	14023	7011
398	979	489	11734	5867
400	1101	550	13216	6608
402	1101	550	13890	6945
404	1085	542	13520	6760
406	1052	526	12303	6151
408	924	462	12265	6132
410	1196	598	13394	6697
412	982	491	12080	6040
414	377	188	4353	2176
416	1061	530	12973	6486
418	1046	523	12813	6406
420	994	497	12098	6049
422	1002	501	12594	6297
424	437	218	4663	2331
426	1041	520	13368	6684
428	1075	537	12998	6499
430	1048	524	12663	6331
432	1024	512	12471	6235
434	1197	598	14061	7030
436	1085	542	13194	6597
438	1078	539	12304	6152
440	880	440	11036	5518
442	1137	568	13273	6636
444	1148	574	14114	7057
446	959	479	11798	5899
448	1065	532	12912	6456
450	1032	516	12161	6080
452	1008	504	12160	6080
454	1066	533	12418	6209
456	1038	519	13113	6556
458	1054	527	13014	6507
460	1086	543	13311	6655
462	1023	511	11964	5982
464	342	171	4137	2068
466	1116	558	14110	7055
468	1081	540	13463	6731
470	1119	559	13355	6677
472	991	495	11960	5980
474	1200	600	14886	7443
476	1041	520	13483	6741
478	1027	513	13652	6826
480	946	473	11405	5702
482	968	484	11993	5996
484	989	494	12438	6219
486	1145	572	13044	6522
488	1076	538	13032	6516
490	1105	552	12999	6499
492	1014	507	12730	6365
494	406	203	4629	2314
496	1003	501	12857	6428
498	1150	575	14093	7046
500	1088	544	13167	6583
502	980	490	13159	6579
504	1107	553	12657	6328
506	1050	525	13328	6664
508	1009	504	11849	5924
510	1120	560	13663	6831
512	1017	508	12290	6145
514	1027	513	12288	6144
516	1059	529	12820	6410
518	1135	567	13752	6876
520	990	495	12019	6009
522	1071	535	12699	6349
524	999	499	12606	6303
526	1058	529	12275	6137
528	985	492	11833	5916
530	1087	543	13026	6513
532	967	483	11927	5963
534	977	488	11082	5541
536	1006	503	12218	6109
538	948	474	11842	5921
540	1015	507	12323	6161
542	1013	506	11906	5953
544	1162	581	14433	7216
546	1094	547	13149	6574
548	1047	523	12968	6484
550	1082	541	12946	6473
552	1030	515	13310	6655
554	1087	543	12890	6445
556	972	486	11859	5929
558	1084	542	13246	6623
560	994	497	12232	6116
562	1135	567	13712	6856
564	118	59	1582	791
566	632	316	8176	4088
568	962	481	11441	5720
570	1108	554	13550	6775
572	1112	556	13398	6699
574	1058	529	12590	6295
576	936	468	11618	5809
578	1173	586	14035	7017
580	1021	510	12582	6291
582	1055	527	12937	6468
584	544	272	6634	3317
586	965	482	11411	5705
588	1027	513	12795	6397
590	1076	538	13495	6747
592	1100	550	12337	6168
594	939	469	11239	5619
596	1060	530	12611	6305
598	971	485	12178	6089
600	1192	596	14530	7265
602	0	0	0	0
