timeInterval	queriesProcessed	throughput	sysCost	virtualThroughput
406	1778	889	20886	10443
408	1823	911	22424	11212
410	1714	857	20474	10237
412	1759	879	21050	10525
414	591	295	6925	3462
416	1827	913	22659	11329
418	1900	950	23014	11507
420	1725	862	20857	10428
422	1667	833	19392	9696
424	696	348	7511	3755
426	1799	899	23807	11903
428	1774	887	21223	10611
430	1749	874	20831	10415
432	1771	885	22283	11141
434	1649	824	19948	9974
436	1806	903	21619	10809
438	1759	879	21515	10757
440	1708	854	20645	10322
442	1743	871	20792	10396
444	1897	948	23063	11531
446	1705	852	20946	10473
448	1812	906	22572	11286
450	1877	938	22633	11316
452	1783	891	22026	11013
454	1743	871	21994	10997
456	1696	848	20822	10411
458	1706	853	21066	10533
460	1827	913	21423	10711
462	1748	874	20735	10367
464	518	259	6936	3468
466	1894	947	23665	11832
468	1863	931	21132	10566
470	1735	867	21184	10592
472	1693	846	21554	10777
474	1792	896	21349	10674
476	1562	781	19885	9942
478	1709	854	21025	10512
480	1760	880	21467	10733
482	1896	948	22786	11393
484	1765	882	21752	10876
486	1800	900	22380	11190
488	1732	866	20610	10305
490	1919	959	23868	11934
492	1716	858	21359	10679
494	708	354	8903	4451
496	1660	830	20934	10467
498	1782	891	22504	11252
500	1849	924	22081	11040
502	1811	905	23131	11565
504	1653	826	19596	9798
506	1757	878	22216	11108
508	1742	871	21086	10543
510	1936	968	22665	11332
512	1540	770	19369	9684
514	1852	926	23571	11785
516	1789	894	21564	10782
518	1858	929	22211	11105
520	1736	868	21299	10649
522	1811	905	21873	10936
524	1840	920	23558	11779
526	1638	819	18684	9342
528	1599	799	19910	9955
530	1808	904	21027	10513
532	1778	889	23074	11537
534	1528	764	19288	9644
536	1841	920	23224	11612
538	1822	911	22441	11220
540	1808	904	22524	11262
542	1663	831	20796	10398
544	1782	891	22914	11457
546	1820	910	21921	10960
548	1694	847	20482	10241
550	1577	788	18768	9384
552	1848	924	22457	11228
554	1754	877	21972	10986
556	1599	799	19390	9695
558	1610	805	19922	9961
560	1808	904	23026	11513
562	1841	920	22066	11033
564	197	98	2341	1170
566	926	463	11503	5751
568	1728	864	20164	10082
570	1714	857	22248	11124
572	1820	910	21136	10568
574	1793	896	22271	11135
576	1847	923	22119	11059
578	1591	795	19855	9927
580	1739	869	22108	11054
582	1877	938	22472	11236
584	715	357	8567	4283
586	1783	891	21385	10692
588	1782	891	21667	10833
590	1610	805	20339	10169
592	2008	1004	23708	11854
594	1576	788	19192	9596
596	1834	917	23344	11672
598	1770	885	21926	10963
600	1671	835	20187	10093
602	0	0	0	0
