timeInterval	queriesProcessed	throughput	sysCost	virtualThroughput
2	0	0	0	0
4	1845	922	21623	10811
6	1563	781	17912	8956
8	1655	827	21655	10827
10	1735	867	21500	10750
12	1747	873	19128	9564
14	1857	928	22855	11427
16	1822	911	21624	10812
18	1763	881	21191	10595
20	1728	864	20891	10445
22	1666	833	20785	10392
24	1603	801	20380	10190
26	1755	877	22571	11285
28	1837	918	21294	10647
30	1761	880	21946	10973
32	1564	782	20499	10249
34	1849	924	22973	11486
36	1670	835	19756	9878
38	1620	810	20079	10039
40	1634	817	20504	10252
42	1720	860	20497	10248
44	1873	936	24438	12219
46	1533	766	19407	9703
48	1811	905	21948	10974
50	1937	968	23233	11616
52	1763	881	21853	10926
54	1680	840	19989	9994
56	1752	876	20605	10302
58	1825	912	23016	11508
60	1847	923	22009	11004
62	1617	808	20772	10386
64	1795	897	21318	10659
66	1975	987	23484	11742
68	1786	893	21680	10840
70	1792	896	21889	10944
72	1608	804	18531	9265
74	1706	853	21282	10641
76	1803	901	23186	11593
78	1747	873	21532	10766
80	1615	807	20117	10058
82	1823	911	22630	11315
84	1767	883	21274	10637
86	1715	857	21973	10986
88	1720	860	20677	10338
90	1644	822	21356	10678
92	1796	898	22098	11049
94	1823	911	23451	11725
96	1753	876	20844	10422
98	1790	895	22012	11006
100	1776	888	21456	10728
102	1740	870	21440	10720
104	1576	788	19699	9849
106	1845	922	23310	11655
108	1812	906	21905	10952
110	1582	791	20577	10288
112	1827	913	21987	10993
114	1741	870	21274	10637
116	1819	909	22480	11240
118	1641	820	19331	9665
120	1858	929	22654	11327
122	1821	910	22737	11368
124	1727	863	20735	10367
126	1843	921	20597	10298
128	1904	952	23229	11614
130	1873	936	23274	11637
132	1685	842	21843	10921
134	1711	855	20631	10315
136	1884	942	22306	11153
138	1668	834	21038	10519
140	1864	932	23508	11754
142	1741	870	20671	10335
144	1509	754	19007	9503
146	1923	961	24107	12053
148	1623	811	19657	9828
150	1712	856	20861	10430
152	1631	815	19401	9700
154	219	109	2864	1432
156	1169	584	14169	7084
158	1596	798	19861	9930
160	1649	824	20415	10207
162	1831	915	22579	11289
164	209	104	2369	1184
166	1557	778	18339	9169
168	1739	869	21499	10749
170	1830	915	21838	10919
172	1727	863	20545	10272
174	1753	876	20716	10358
176	1809	904	22218	11109
178	1592	796	19386	9693
180	2002	1001	23298	11649
182	1686	843	20821	10410
184	1805	902	20897	10448
186	1685	842	20527	10263
188	1760	880	21873	10936
190	1997	998	23576	11788
192	1666	833	20175	10087
194	450	225	5399	2699
196	1913	956	22939	11469
198	1823	911	22781	11390
200	1767	883	21711	10855
202	1493	746	19258	9629
204	627	313	7541	3770
206	1759	879	22673	11336
208	1760	880	21538	10769
210	1888	944	22491	11245
212	1664	832	21073	10536
214	1687	843	19772	9886
216	1722	861	21390	10695
218	1685	842	20815	10407
220	1759	879	21439	10719
222	1896	948	21683	10841
224	1659	829	20844	10422
226	1692	846	20277	10138
228	1694	847	21064	10532
230	1770	885	21923	10961
232	1751	875	21663	10831
234	610	305	6436	3218
236	1771	885	22170	11085
238	1579	789	19632	9816
240	1847	923	22457	11228
242	1884	942	23649	11824
244	1572	786	18896	9448
246	1851	925	23140	11570
248	1656	828	20828	10414
250	1776	888	22067	11033
252	1655	827	19928	9964
254	594	297	7003	3501
256	1747	873	21926	10963
258	1921	960	23221	11610
260	1676	838	20413	10206
262	1749	874	21412	10706
264	611	305	7825	3912
266	1743	871	22267	11133
268	1907	953	21914	10957
270	1366	683	17981	8990
272	1750	875	21557	10778
274	1917	958	23763	11881
276	1847	923	22948	11474
278	1612	806	18908	9454
280	1894	947	23112	11556
282	1713	856	22221	11110
284	1893	946	22743	11371
286	1605	802	20644	10322
288	1934	967	23697	11848
290	1815	907	22450	11225
292	1743	871	21505	10752
294	677	338	8723	4361
296	1666	833	20852	10426
298	1690	845	20697	10348
300	1913	956	22911	11455
302	1687	843	20793	10396
304	1824	912	22217	11108
306	1804	902	21839	10919
308	1853	926	22007	11003
310	1601	800	18799	9399
312	1696	848	21355	10677
314	1834	917	21564	10782
316	1877	938	21371	10685
318	1670	835	20546	10273
320	1700	850	20580	10290
322	1690	845	20617	10308
324	1817	908	21501	10750
326	1582	791	20559	10279
328	1855	927	21739	10869
330	1669	834	20842	10421
332	1801	900	19923	9961
334	1514	757	18848	9424
336	1693	846	20929	10464
338	1814	907	22254	11127
340	1741	870	21132	10566
342	1666	833	19916	9958
344	1781	890	22615	11307
346	1839	919	22769	11384
348	1908	954	22919	11459
350	1679	839	19776	9888
352	1589	794	19592	9796
354	1868	934	23022	11511
356	1607	803	20171	10085
358	1604	802	18713	9356
360	1723	861	21146	10573
362	1760	880	20646	10323
364	1714	857	20685	10342
366	1755	877	21948	10974
368	1768	884	20770	10385
370	1697	848	21524	10762
372	1794	897	20907	10453
374	1828	914	22562	11281
376	1687	843	20601	10300
378	1653	826	21189	10594
380	1665	832	20196	10098
382	1763	881	22581	11290
384	547	273	5939	2969
386	1821	910	23096	11548
388	1676	838	20660	10330
390	1778	889	20312	10156
392	1728	864	21870	10935
394	1815	907	21796	10898
396	1734	867	22577	11288
398	1604	802	20086	10043
400	1715	857	21624	10812
402	1768	884	21806	10903
404	1765	882	22125	11062
