timeInterval	queriesProcessed	throughput	sysCost	virtualThroughput
528	1364	682	17741	8870
530	1543	771	19154	9577
532	1425	712	17677	8838
534	1466	733	17369	8684
536	1445	722	17980	8990
538	1521	760	18746	9373
540	1328	664	16934	8467
542	1264	632	16524	8262
544	1452	726	17215	8607
546	1416	708	17409	8704
548	1474	737	18094	9047
550	1291	645	15760	7880
552	1267	633	15914	7957
554	1400	700	17456	8728
556	1516	758	18412	9206
558	1313	656	14893	7446
560	1436	718	17931	8965
562	1329	664	16599	8299
564	123	61	1647	823
566	777	388	9733	4866
568	1287	643	15993	7996
570	1300	650	16535	8267
572	1470	735	17939	8969
574	1434	717	18383	9191
576	1369	684	16230	8115
578	1305	652	16396	8198
580	1485	742	18416	9208
582	1380	690	16826	8413
584	658	329	8063	4031
586	1373	686	17017	8508
588	1512	756	18424	9212
590	1383	691	17836	8918
592	1569	784	18906	9453
594	1537	768	18442	9221
596	1389	694	16972	8486
598	1390	695	17239	8619
600	1529	764	18987	9493
602	0	0	0	0
