timeInterval	queriesProcessed	throughput	sysCost	virtualThroughput
456	5546	2773	69061	34530
458	5391	2695	66114	33057
460	5578	2789	67533	33766
462	5113	2556	59714	29857
464	1691	845	21543	10771
466	5695	2847	70439	35219
468	5562	2781	66573	33286
470	5449	2724	66580	33290
472	5078	2539	62725	31362
474	5592	2796	67667	33833
476	5357	2678	66463	33231
478	5350	2675	67226	33613
480	5230	2615	62663	31331
482	5597	2798	67574	33787
484	5427	2713	65949	32974
486	5611	2805	68175	34087
488	5206	2603	61951	30975
490	5700	2850	68253	34126
492	5469	2734	67374	33687
494	2084	1042	25585	12792
496	5261	2630	65707	32853
498	5601	2800	69474	34737
500	5568	2784	66675	33337
502	5267	2633	67569	33784
504	5248	2624	61877	30938
506	5345	2672	68000	34000
508	5348	2674	65146	32573
510	5702	2851	67649	33824
512	4999	2499	62344	31172
514	5539	2769	66921	33460
516	5579	2789	67559	33779
518	5479	2739	66342	33171
520	5231	2615	63925	31962
522	5613	2806	67583	33791
524	5285	2642	67668	33834
526	5400	2700	63195	31597
528	5005	2502	63278	31639
530	5596	2798	66491	33245
532	5331	2665	67041	33520
534	5066	2533	61883	30941
536	5553	2776	68580	34290
538	5537	2768	67910	33955
540	5447	2723	67792	33896
542	5124	2562	63152	31576
544	5613	2806	69000	34500
546	5378	2689	65377	32688
548	5434	2717	67374	33687
550	5183	2591	61898	30949
552	5345	2672	66676	33338
554	5371	2685	65803	32901
556	5263	2631	64159	32079
558	5199	2599	62218	31109
560	5420	2710	67510	33755
562	5514	2757	66698	33349
564	592	296	7683	3841
566	3095	1547	38810	19405
568	5121	2560	60752	30376
570	5510	2755	70105	35052
572	5493	2746	66423	33211
574	5379	2689	67319	33659
576	5146	2573	62371	31185
578	5371	2685	65642	32821
580	5536	2768	68572	34286
582	5446	2723	66309	33154
584	2435	1217	29443	14721
586	5241	2620	63446	31723
588	5409	2704	66315	33157
590	5284	2642	66621	33310
592	5897	2948	69168	34584
594	5158	2579	62736	31368
596	5464	2732	66601	33300
598	5352	2676	66520	33260
600	5578	2789	67976	33988
602	0	0	0	0
DONE!!
