timeInterval	queriesProcessed	throughput	sysCost	virtualThroughput
176	514	257	5440	2720
178	532	266	6394	3197
180	586	293	6461	3230
182	462	231	5796	2898
184	469	234	5462	2731
186	540	270	6328	3164
188	513	256	6172	3086
190	457	228	5871	2935
192	488	244	5932	2966
194	130	65	1175	587
196	520	260	6707	3353
198	538	269	7020	3510
200	441	220	5780	2890
202	434	217	5879	2939
204	176	88	2104	1052
206	439	219	5587	2793
208	581	290	7136	3568
210	416	208	5414	2707
212	504	252	6212	3106
214	421	210	5391	2695
216	530	265	6953	3476
218	486	243	5663	2831
220	507	253	6177	3088
222	426	213	5280	2640
224	507	253	5894	2947
226	520	260	5883	2941
228	501	250	6244	3122
230	550	275	6404	3202
232	579	289	6924	3462
234	167	83	2107	1053
236	495	247	6390	3195
238	546	273	7001	3500
240	476	238	5904	2952
242	497	248	6231	3115
244	447	223	5268	2634
246	467	233	5729	2864
248	457	228	5850	2925
250	433	216	4998	2499
252	536	268	6883	3441
254	165	82	1718	859
256	489	244	6163	3081
258	499	249	6424	3212
260	597	298	7382	3691
262	485	242	5119	2559
264	187	93	2379	1189
266	551	275	6761	3380
268	418	209	4663	2331
270	523	261	6192	3096
272	530	265	6651	3325
274	411	205	5357	2678
276	476	238	5604	2802
278	545	272	6467	3233
280	472	236	5707	2853
282	585	292	7050	3525
284	473	236	6089	3044
286	476	238	5849	2924
288	517	258	6082	3041
290	412	206	5057	2528
292	528	264	6629	3314
294	181	90	2314	1157
296	482	241	5872	2936
298	483	241	6205	3102
300	470	235	5580	2790
302	415	207	5009	2504
304	514	257	6295	3147
306	549	274	6386	3193
308	500	250	5773	2886
310	524	262	5980	2990
312	508	254	6357	3178
314	516	258	6251	3125
316	574	287	6380	3190
318	386	193	4390	2195
320	518	259	6006	3003
322	539	269	7001	3500
324	508	254	5633	2816
326	424	212	5674	2837
328	534	267	6467	3233
330	559	279	6916	3458
332	508	254	5929	2964
334	487	243	6447	3223
336	406	203	4705	2352
338	558	279	6675	3337
340	453	226	5339	2669
342	575	287	7062	3531
344	483	241	6315	3157
346	473	236	5547	2773
348	454	227	5813	2906
350	476	238	5588	2794
352	431	215	6064	3032
354	437	218	5466	2733
356	540	270	6014	3007
358	476	238	5777	2888
360	483	241	6269	3134
362	558	279	6905	3452
364	513	256	6277	3138
366	451	225	5434	2717
368	472	236	5801	2900
370	549	274	7321	3660
372	439	219	4835	2417
374	473	236	5834	2917
376	463	231	5607	2803
378	498	249	5807	2903
380	456	228	5405	2702
382	464	232	5774	2887
384	174	87	1852	926
386	518	259	6667	3333
388	507	253	6271	3135
390	455	227	5413	2706
392	399	199	5194	2597
394	496	248	5971	2985
396	502	251	6123	3061
398	403	201	4673	2336
400	459	229	5843	2921
402	506	253	6361	3180
404	495	247	6510	3255
406	480	240	5713	2856
408	413	206	5178	2589
410	474	237	5625	2812
412	573	286	6730	3365
414	185	92	2006	1003
416	536	268	6660	3330
418	467	233	5244	2622
420	560	280	7035	3517
422	509	254	5908	2954
424	172	86	1907	953
426	486	243	6120	3060
428	513	256	6402	3201
430	476	238	5533	2766
432	542	271	7037	3518
434	542	271	6910	3455
436	471	235	5732	2866
438	488	244	5701	2850
440	399	199	5011	2505
442	417	208	4667	2333
444	462	231	6127	3063
446	437	218	5208	2604
448	451	225	5600	2800
450	497	248	5483	2741
452	537	268	6453	3226
454	484	242	5436	2718
456	497	248	6019	3009
458	530	265	6587	3293
460	558	279	6729	3364
462	464	232	5214	2607
464	183	91	2111	1055
466	611	305	7862	3931
468	496	248	6238	3119
470	474	237	5650	2825
472	447	223	5529	2764
474	529	264	6603	3301
476	523	261	6401	3200
478	565	282	6810	3405
480	536	268	6181	3090
482	427	213	5024	2512
484	535	267	6307	3153
486	447	223	5875	2937
488	483	241	6191	3095
490	501	250	5747	2873
492	467	233	5883	2941
494	164	82	1793	896
496	514	257	5951	2975
498	485	242	6133	3066
500	474	237	5689	2844
502	416	208	5252	2626
504	518	259	5477	2738
506	523	261	6356	3178
508	499	249	6182	3091
510	541	270	6251	3125
512	438	219	5722	2861
514	460	230	5411	2705
516	479	239	5752	2876
518	472	236	5948	2974
520	461	230	5541	2770
522	479	239	5969	2984
524	460	230	6096	3048
526	484	242	6176	3088
528	410	205	5211	2605
530	480	240	5220	2610
532	453	226	5614	2807
534	495	247	6098	3049
536	481	240	5738	2869
538	490	245	6001	3000
540	557	278	6719	3359
542	513	256	5837	2918
544	502	251	6021	3010
546	449	224	5852	2926
548	469	234	6322	3161
550	538	269	6085	3042
552	516	258	6559	3279
554	534	267	6103	3051
556	502	251	6366	3183
558	531	265	6150	3075
560	583	291	6587	3293
562	489	244	5641	2820
564	61	30	953	476
566	325	162	3910	1955
568	467	233	5204	2602
570	613	306	8129	4064
572	443	221	5672	2836
574	436	218	5621	2810
576	419	209	4702	2351
578	529	264	5703	2851
580	579	289	6749	3374
582	471	235	5780	2890
584	200	100	2346	1173
586	489	244	5895	2947
588	395	197	4777	2388
590	453	226	5441	2720
592	539	269	6009	3004
594	474	237	5955	2977
596	520	260	6302	3151
598	495	247	6256	3128
600	508	254	6059	3029
602	0	0	0	0
