timeInterval	queriesProcessed	throughput	sysCost	virtualThroughput
2	0	0	0	0
4	480	240	5412	2706
6	471	235	5350	2675
8	420	210	5466	2733
10	558	279	6932	3466
12	478	239	5413	2706
14	541	270	6828	3414
16	466	233	6114	3057
18	454	227	5416	2708
20	497	248	6381	3190
22	504	252	6179	3089
24	595	297	7130	3565
26	501	250	6096	3048
28	418	209	5495	2747
30	536	268	6654	3327
32	461	230	6313	3156
34	441	220	5950	2975
36	547	273	6606	3303
38	432	216	5206	2603
40	500	250	6032	3016
42	526	263	6006	3003
44	550	275	6886	3443
46	483	241	5830	2915
48	449	224	6066	3033
50	605	302	8159	4079
52	502	251	6592	3296
54	412	206	5454	2727
56	434	217	4872	2436
58	531	265	6969	3484
60	564	282	6531	3265
62	389	194	4734	2367
64	407	203	5882	2941
66	473	236	6105	3052
68	481	240	6336	3168
70	480	240	5888	2944
72	467	233	5261	2630
74	489	244	5862	2931
76	367	183	4490	2245
78	540	270	5803	2901
80	510	255	6054	3027
82	460	230	6066	3033
84	575	287	7166	3583
86	495	247	6045	3022
88	476	238	5723	2861
90	531	265	6445	3222
92	492	246	6459	3229
94	455	227	5382	2691
96	466	233	5010	2505
98	469	234	5738	2869
100	429	214	5764	2882
102	489	244	6245	3122
104	516	258	6592	3296
106	491	245	6110	3055
108	453	226	5596	2798
110	519	259	5972	2986
112	556	278	6910	3455
114	525	262	6804	3402
116	457	228	5889	2944
118	499	249	6275	3137
120	494	247	6289	3144
122	433	216	5831	2915
124	491	245	6437	3218
126	451	225	5214	2607
128	502	251	6451	3225
130	504	252	6142	3071
132	507	253	5996	2998
134	536	268	6463	3231
136	491	245	6087	3043
138	491	245	6281	3140
140	458	229	5670	2835
142	369	184	4810	2405
144	459	229	5705	2852
146	556	278	7049	3524
148	450	225	5581	2790
150	414	207	5354	2677
152	508	254	6623	3311
154	52	26	858	429
156	277	138	3564	1782
158	528	264	6804	3402
160	520	260	5874	2937
162	482	241	5778	2889
164	83	41	914	457
166	333	166	4081	2040
168	593	296	6714	3357
170	418	209	5374	2687
172	468	234	5793	2896
174	467	233	5735	2867
