0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
21   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor Z:\apache_tools\solr-4.7.1\solr\example\contexts at interval 0
26   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: Z:\apache_tools\solr-4.7.1\solr\example\contexts\solr-jetty-context.xml
1236 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1833 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
1833 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
1834 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
1834 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
1834 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
1834 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/poi-3.9.jar' to classloader
1834 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
1835 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
1835 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
1835 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/rome-0.9.jar' to classloader
1835 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
1835 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/tika-core-1.4.jar' to classloader
1836 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
1836 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/tika-xmp-1.4.jar' to classloader
1836 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
1836 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
1836 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
1837 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
1837 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
1837 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/extraction/lib/xz-1.0.jar' to classloader
1838 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/dist/solr-cell-4.7.1-SNAPSHOT.jar' to classloader
